episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
1,0.0,1.6580000000000001,0.192031503358814,0.03487836820865417,-0.004083883632689172,-0.00018655561354407723,-0.0008812934622325367,-0.07133934933013822,0.0,1.0,1.0,1.0
2,-1.0,1.696,0.14014212526855066,0.014533873137835579,0.017298533034921883,6.452498194665208e-05,-0.0002794300619364978,0.03368992446436192,0.0,0.0,1.0,0.0
3,-1.0,2.204,0.23531923980354474,0.04204680101630008,0.014749635830440488,0.00020781283298173495,-0.00029709464907631415,0.02388967456599239,0.0,0.0,1.0,0.0
4,0.0,-0.186,-0.011600349257827118,-0.016649627445955023,-0.009060841639553355,-0.00043453074826363164,-0.0008223877563208294,-0.10273294761951532,1.0,1.0,1.0,1.0
5,0.0,2.2600000000000002,0.2412467976088813,0.021332417262350994,0.010837137353863562,0.0002776034169927465,-0.00022695190550455217,0.04381807581153921,0.0,0.0,1.0,0.0
6,0.0,0.05800000000000001,0.004005524861878453,-0.02103113026483766,-0.015306618037050725,-0.0003571008645262254,-0.0007780453750437669,-0.10045928027052209,0.0,1.0,1.0,1.0
7,0.0,1.1700000000000002,0.09822028206850236,-0.020408696016703184,-0.015449535173839506,-0.00038783691511422573,-0.0007471281869258644,-0.10467193661993435,0.0,1.0,1.0,1.0
8,0.0,1.524,0.18220946915351507,0.04274798910152258,0.010614538358205137,0.00021699773081055803,-0.000143395365683269,0.01975584306004166,0.0,0.0,1.0,0.0
9,-1.0,1.3840000000000001,0.11657681940700809,0.027625299550211202,0.015520179772878865,9.380179437773202e-05,-0.0003675913391533437,0.03501699260816063,0.0,0.0,1.0,0.0
10,0.0,1.18,0.11609602518693428,-0.00037195307574466874,0.008876307199780113,0.00010136177817915773,-0.00031629745348275276,0.03333457152274494,0.0,0.0,1.0,0.0
11,0.0,1.942,0.2231158088235294,0.030867130602539858,0.007537106097700745,0.00015113567559242797,-0.00016958400242566142,0.021726889329837296,0.0,0.0,1.0,0.0
12,0.0,2.084,0.23373710183938987,0.026074635346062136,0.008153299275902528,0.0002084324884733947,-0.00019763690544211343,0.0240779035617818,0.0,0.0,1.0,0.0
13,0.0,0.534,0.041757898029402565,-0.02923118495471852,-0.010559508271577013,-0.0004611334629113065,-0.000908011135996265,-0.0786561555142491,0.0,1.0,1.0,1.0
14,0.0,-0.712,-0.08753380870420457,-0.0006403689822616354,-0.019948210205448392,-5.884047305432976e-05,-0.0006656780713293758,-0.11153771938279625,1.0,1.0,1.0,1.0
15,0.0,1.492,0.1391271913465125,0.015079699565834381,0.009709820234595932,0.00012359411699863396,-0.00024600809848952056,0.03518295540580449,0.0,0.0,1.0,0.0
16,0.0,2.334,0.25497050469740007,0.023826549722003945,0.007974796157249461,0.00021530380163115406,-0.00016642817841002483,0.02840799640685704,0.0,0.0,1.0,0.0
17,0.0,1.456,0.13365155131264916,-0.01163766441898878,-0.010857681978706433,-0.0003846031849339418,-0.0008080706907684157,-0.08317955644847741,0.0,1.0,1.0,1.0
18,-1.0,1.952,0.1605527224872512,-0.0020024018933740007,-0.001970144841633145,-0.0003716336006423295,-0.0007659131923084277,-0.1117168305055784,0.0,1.0,1.0,1.0
19,0.0,1.52,0.13914317099963383,0.030167495559863866,0.00971453806027385,7.608698765127072e-05,-0.00021540532526032028,0.03286636739483059,0.0,0.0,1.0,0.0
20,0.0,1.3920000000000001,0.12531508822470291,0.008086535230924577,-0.010934766534172587,-0.00033413995481141245,-0.000932265920957972,-0.10173585153442036,0.0,1.0,1.0,1.0
21,0.0,-1.5259999999999998,-0.12090001584534939,-0.02568922134108305,-0.020303647583936837,-0.00039138853470581695,-0.0007875861913055935,-0.08261906502168201,1.0,1.0,1.0,1.0
22,0.0,1.812,0.20146764509673115,0.03729427923210922,0.013445857098880168,0.00019450620120376556,-0.0002987057043369997,0.02738204707319805,0.0,0.0,1.0,0.0
23,0.0,-0.07200000000000001,-0.004225352112676058,-0.017350837306099112,-0.013121524667741403,-0.0004336401581852097,-0.000819536860846374,-0.11000735577756882,1.0,1.0,1.0,1.0
24,0.0,-0.15,-0.01157764742204384,-0.013426527125021098,-0.01471883703699084,-0.00038823615050693203,-0.0007996849554347586,-0.09601628891573508,1.0,1.0,1.0,1.0
25,0.0,0.092,0.008437270726338958,-0.019973163020192863,-0.01056387495413097,-0.0003798956546356777,-0.0009699814221109135,-0.05537245992525752,0.0,1.0,1.0,1.0
26,0.0,0.11200000000000002,0.007885102787947056,-0.01986651387486632,-0.013479945947998888,-0.00033802582015191344,-0.0007640106330597638,-0.10018223396601539,0.0,1.0,1.0,1.0
27,-1.0,0.498,0.03483491885842194,0.007667018645959894,-0.000657992804545364,-0.0003826521042173057,-0.0010002731515076032,-0.09787790008348562,0.0,1.0,1.0,1.0
28,0.0,2.066,0.2221505376344086,0.03436618437144297,0.009686755014260697,0.00017447113297995652,-0.00029267020533618683,0.027188280326084335,0.0,0.0,1.0,0.0
29,0.0,1.3319999999999999,0.17160525637722235,0.032471363570196546,0.022760548989247537,0.00016305802195724787,-9.249563558026274e-05,0.05341138627025435,0.0,0.0,1.0,0.0
30,0.0,1.334,0.1485854310536868,-0.01587246599143366,-0.0013687528468497093,3.524418422200183e-05,-0.0006945501687575996,-0.05620644787356499,0.0,1.0,1.0,1.0
31,0.0,2.614,0.2510082581140772,0.029707078145203222,0.013171761027635249,0.00020076633970187243,-0.0002526961234681517,0.06625884851474875,0.0,0.0,1.0,0.0
32,0.0,-0.2799999999999998,-0.02575423105224428,-0.014794736531040756,-0.012699618131891435,-0.0003222778150096322,-0.0008135089523475529,-0.1064853985318378,1.0,1.0,1.0,1.0
33,0.0,1.274,0.10725711399225459,-0.018449333465908616,-0.013650862015068915,-0.0003567895680652893,-0.0007610734919263275,-0.0999442884077098,0.0,1.0,1.0,1.0
34,-1.0,2.7,0.26806989674344717,0.02050308231390241,0.00011753711862221364,-7.035460934501836e-05,-0.0009279352481768657,-0.050464361452469825,0.0,0.0,1.0,1.0
35,0.0,-0.092,-0.0058846104643725215,-0.022827385141406017,-0.01860095099205354,-0.0004004445256096382,-0.0008336403092224706,-0.09150902028874106,1.0,1.0,1.0,1.0
36,0.0,1.124,0.10327085630282984,-0.023026274244357575,-0.0075328106992778865,-0.00037911978857776345,-0.0008226313194208046,-0.07205139580167755,0.0,1.0,1.0,1.0
37,0.0,-0.064,-0.004675628287551139,-0.022765115873608743,-0.017084532275192667,-0.0003977747047044681,-0.000881288568147745,-0.11659798209911212,1.0,1.0,1.0,1.0
38,-1.0,2.422,0.2232258064516129,0.024409612912368428,0.014906979084150973,0.0001628705637984455,-0.0003338863184853172,0.04102929509344516,0.0,0.0,1.0,0.0
39,0.0,2.126,0.23791405550581915,0.012721453505173869,0.020851573664836934,0.00024082981470247217,-0.00017652879268265082,0.05431565339190558,0.0,0.0,1.0,0.0
40,-1.0,2.352,0.24742268041237114,0.04191093030122489,0.015442258618692679,0.0002053864006404261,-0.00026355139068104724,0.03324982412432234,0.0,0.0,1.0,0.0
