episode,random_mpc_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
1,1,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,829,1.6580000000000001,0.192031503358814,2,0.13868684349872673,0.011271278733688038,0.5987384604947799,1615,0.3278750167098248,0.8973270818629461,2702,0.02610285098669823,0.05244978403136171,0.001041616012524231,0.00020294867713644695,0.2042313802028405
1,0,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,0,0.0,0.0,0,0.10380847529007256,0.0011179409098825378,0.6201746248665958,770,0.3698513828353805,0.9805307193955288,3547,0.030186734619387402,0.05795980264519885,0.0012281716260683082,0.0010842421393689836,0.27557072953297873
2,1,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,0,848,1.696,0.14014212526855066,2,0.16407626761661692,0.024287443865858165,0.631328931495686,3620,0.20238078372023108,1.003512631754071,2431,0.029515674202339352,0.05532489834569824,0.0009783247680572409,0.0001423010733385725,0.19494879423040656
2,0,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,1,0,0.0,0.0,0,0.14954239447878134,0.0049831973827157705,0.9210770432909632,1515,0.505158608895354,1.3645074625364642,4536,0.012217141167417471,0.013272299019043025,0.0009137997861105888,0.00042173113527507034,0.16125886976604464
3,1,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,0,1102,2.204,0.23531923980354474,2,0.13744575769356984,0.023430123750960305,0.5682490494116974,2065,0.2720687748580056,0.8861370357161478,2618,0.0283215177250799,0.042610166733187536,0.0010372898513104577,0.00014419745171278403,0.19260871789901543
3,0,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,1,0,0.0,0.0,0,0.09539895667726976,0.0021988998370883373,0.640204601465411,850,0.3912519423463303,1.0135582046319296,3833,0.013571881894639412,0.019195991312895958,0.0008294770183287228,0.0004412921007890982,0.16871904333302304
4,1,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,53,0.106,0.006610951727578895,4,0.09842444427813297,0.014351534362777144,0.31829384502083835,2405,0.1939021945719046,1.049392676963805,5612,0.0260784948760951,0.026753170081837578,0.0007433703321004267,0.0003166704966471376,0.18384027750330115
4,0,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,146,0.292,0.018211300985406013,2,0.115074071724088,0.0006034130222205365,0.7386008887868588,1315,0.45809378236516024,1.1939081542058638,6702,0.035139336515648455,0.06179567725621241,0.0011779010803640584,0.001139058252967967,0.28657322512281647
5,1,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,1130,2.2600000000000002,0.2412467976088813,1,0.15329114655998094,0.01500225987779412,0.7095778910398842,2100,0.3045340536310862,1.1043496962993156,2584,0.023774063100122794,0.059978749311214906,0.0012715540376918633,0.0001900860596467526,0.2025871728480749
5,0,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,0,0.0,0.0,0,0.13195872929762995,0.004180844130922006,0.8517170358963542,1090,0.456889935824141,1.252465547054745,3594,0.012936925746259232,0.015802202717035176,0.0009939506206991168,0.0004170379651513048,0.1587690970365357
6,1,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,70,0.14,0.009668508287292817,3,0.12901664496863433,0.014943821898592561,0.45654981356337593,2800,0.22948003404649508,1.1179904424631142,4440,0.02016628729284576,0.03613420475071444,0.0008022967480038325,0.00032472071618128064,0.1808281417471022
6,0,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,41,0.082,0.005662983425414364,5,0.15004777523347199,0.0013875350963448762,0.8840182792625735,1510,0.5217010595476355,1.321306246004064,5730,0.035472905329896484,0.05920668875517583,0.0011593976125300579,0.0011027660912250475,0.2812874220176243
