episode,uncertainty_on,x_start,x_end,speed,y_noise_mean,y_noise_std,noise_seed,kf_seed,base_duration_s,max_time_s,steps_total,sim_time_s,success,zone_steps,zone_time_s,zone_ratio,zone_entries,target_err_mean,target_err_min,target_err_p95,hold_steps,hold_err_mean,hold_err_p95,attach_steps,attach_err_mean,attach_err_p95,hf_target_err_diff_rms,hf_attach_err_diff_rms,hf_qdot_diff_rms
1,1,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,57,0.114,0.01320361362056984,5,0.09744509732198509,0.008195042207476633,0.6204878209151632,780,0.36741234386634164,0.9802870706119875,3537,0.021770917707572807,0.037217498396577814,0.0009580105924040196,0.0006767708960451234,0.16288372426009856
1,0,-0.5214013793565551,0.6870696727284644,0.45890622077684895,0.008995106300789354,0.005,1269010341,462146401,2.6333725658355354,8.633372565835536,4317,8.633999999999553,1,50,0.1,0.011582117211026175,5,0.0977089432939628,0.00373935865848933,0.6188028801323151,790,0.3634472693773265,0.9785134920921269,3527,0.021571328451329315,0.03653315431394397,0.0009513986094448857,0.0006686440628171988,0.16482226462145663
2,1,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,1,26,0.052000000000000005,0.004296810444554619,2,0.1509031689665931,0.010862587631547791,1.0492449190029713,1055,0.6472963444034194,1.4154020786649422,4996,0.03432452013220175,0.13577551957035885,0.0010346917707758638,0.0007484653138451854,0.1964892919501901
2,0,-1.0600344783471238,0.7270555009282269,0.2928717993300677,0.005469374267664599,0.005,1002755584,2002279890,6.101953084466468,12.101953084466468,6051,12.10200000000071,1,34,0.068,0.00561890596595604,3,0.14984991080959562,0.008715734455994604,1.039610645692291,1105,0.6217906057790878,1.4063128091385533,4946,0.03228634751247417,0.13134739689879704,0.0010365091356618163,0.0007211579486132855,0.1967106342919341
3,1,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,1,55,0.11,0.01174460815716421,2,0.10288915001827151,0.006497893012186555,0.6373114860266881,850,0.39118421741057474,1.0136523885007955,3833,0.022904398328478497,0.03278419135728584,0.0009578898196943001,0.0006862465878172581,0.1543794854798099
3,0,-0.573226393383822,0.7170160072211289,0.38338737685669655,0.011028025973516712,0.005,772595150,1888308469,3.365375279654084,9.365375279654085,4683,9.365999999999797,1,55,0.11,0.01174460815716421,3,0.10366439075056492,0.0064031026629231555,0.6348308203819139,870,0.38504745752282454,1.0129073891829776,3813,0.02271493446169091,0.03247649151174083,0.0009535754688573966,0.0006775647554699193,0.15614032506639364
4,1,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,119,0.23800000000000002,0.014843457652488462,3,0.10433064992334333,0.010393189070296256,0.7774852607461281,890,0.6501636546535391,1.2204671288805564,7127,0.03084357989226312,0.09284517463259782,0.0007145479424467845,0.00048253529445717856,0.1395423162825865
4,0,-0.8107722877514483,0.7398001352949404,0.15456027930155117,0.01654920251395793,0.005,828602507,935497554,10.03215334530537,16.032153345305368,8017,16.034000000001992,1,69,0.138,0.008606710739678183,3,0.10529337117491569,0.013195958033620553,0.7982839277176847,895,0.6511688364721822,1.2199489749545287,7122,0.030176673706819274,0.08927327350226631,0.0007007794203333185,0.0004615217591174971,0.15179216243204283
5,1,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,73,0.146,0.015584970111016226,2,0.14159714294998,0.0016845890876680963,0.8528537251939747,1085,0.4691967077852418,1.2553120390459984,3599,0.02246126280190065,0.037280527014696085,0.0011047466012717622,0.0006887056428337817,0.16828476764038666
5,0,-0.8936225389490077,0.6101509170489652,0.4466288392763218,0.0078203342210664,0.005,272692330,1094577603,3.366942131266211,9.36694213126621,4684,9.367999999999798,1,0,0.0,0.0,0,0.15963250423633737,0.009462721638278701,0.8482073054207627,1605,0.3436875093428409,1.1956545507868797,3079,0.023997849982278083,0.0659234824184922,0.0009511291246170917,0.00028627752240690786,0.22128357484924405
6,1,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,287,0.5740000000000001,0.039640883977900554,5,0.1437468958686229,0.014786748195564695,1.0043664506652847,1355,0.5602735431354694,1.343808085600122,5885,0.03410115762329995,0.10263622823666507,0.0008415320062790777,0.0005321294917545308,0.18228000751085727
6,0,-0.9915817710078559,0.46385198688000395,0.17165925462299172,0.014088772437366257,0.005,2024417915,1141144975,8.47862098134103,14.47862098134103,7240,14.480000000001505,1,248,0.496,0.03425414364640884,5,0.14098206098584637,0.013858397821259609,0.9897632261156187,1340,0.5585809458250928,1.3442006110102227,5900,0.03215239026855109,0.09803601528055136,0.0008265118347291862,0.0005292743131909047,0.1808617225856616
