episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
1,0.0,0.0,0.0,-0.0009992280418590488,-0.0005217885918503036,6.8686291707731415e-06,5.921967398026581e-06,-0.002354962547513051,0.0,1.0,0.0,1.0
2,0.0,-0.264,-0.02181457610312345,0.0016383068905099774,-0.014484660908527071,-6.848395575647661e-05,-0.0002738687690920101,-0.002861787897710494,1.0,1.0,1.0,1.0
3,0.0,0.0,0.0,-0.0008940845222766419,-0.00013010039023218962,-1.4469389914129548e-05,-2.74496815226432e-05,-0.006624016847731423,0.0,1.0,1.0,1.0
4,0.0,-0.712,-0.04440563801920918,0.00681286193354988,0.011380018380906604,0.00045764720723628753,0.0006341371447595762,0.0893574105893799,1.0,0.0,0.0,0.0
5,0.0,0.0,0.0,-0.0014907719939232789,0.00012000593130200368,-2.2197738603403107e-06,5.330075114959234e-06,-0.00635727238823211,0.0,0.0,0.0,1.0
6,0.0,-0.11,-0.007596685082872929,-0.003386099014916294,-0.0003973123785575225,-4.098447845031364e-06,-5.959667750696359e-06,-0.0017253683611127002,1.0,1.0,1.0,1.0
7,0.0,-0.026000000000000023,-0.002182672934855608,-0.00199105310116697,-0.00014284360087411102,3.821514077491286e-07,-2.4223041622307463e-06,-0.0016304128681198238,1.0,1.0,1.0,1.0
8,0.0,-0.004,-0.00047824007651841227,-0.00045949919011072093,-8.239263637278837e-06,3.754509851659608e-06,5.769039170401167e-06,-0.0015116000106748795,1.0,1.0,0.0,1.0
9,0.0,-0.11200000000000002,-0.009433962264150945,-0.012428838047187252,-0.012603818813877435,-0.00010738239078304822,-0.00020354817034418148,-0.007265349182004555,1.0,1.0,1.0,1.0
10,0.0,0.0,0.0,-0.003903738065806628,0.00018566820272326694,1.920704793938416e-05,4.540500693429823e-05,0.0004583512939134171,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,-0.001878997669800278,-0.0004162315270628287,-1.4163560595331745e-05,-3.713069540618258e-05,-0.005029052865711259,0.0,1.0,1.0,1.0
12,0.0,0.0,0.0,2.218860555419644e-05,0.00020114628972832567,-1.7562012381761895e-06,1.298001748390804e-05,-1.3319343702300479e-05,0.0,0.0,0.0,1.0
13,0.0,0.11800000000000001,0.009227400688145137,-0.00046465911554770256,0.0017680878766261274,1.180927817778744e-05,9.332438738193912e-06,-0.000682028842866389,0.0,0.0,0.0,1.0
14,0.0,0.08599999999999985,0.010572903860339322,-0.00033985606561673376,-0.0007479909884873653,-7.306421281803605e-06,-1.3327671013891305e-05,-0.0028033360700217003,0.0,1.0,1.0,1.0
15,0.0,-0.524,-0.04886236478925774,-0.023982496972592304,-0.025267991174641444,-0.0002996605793582753,-0.0005274279214115371,-0.16246589808479003,1.0,1.0,1.0,1.0
16,0.0,0.0,0.0,-0.0009103742819263072,2.6070537089072435e-05,-1.1238112529365495e-05,-1.5598191821299698e-05,-0.004157245348204747,0.0,0.0,1.0,1.0
17,0.0,0.0,0.0,-0.0019424123845693808,-0.0007060852521304228,-1.0983724509119582e-05,-1.4610074682107907e-05,-0.0012597970613403842,0.0,1.0,1.0,1.0
18,0.0,0.0,0.0,-0.001727475810133966,-0.00023003069252242742,2.5193967636675824e-06,2.428793604806719e-06,0.0009215825720874093,0.0,1.0,0.0,0.0
19,0.0,-0.00399999999999999,-0.00036616623947272053,-0.0008549062344637148,0.00012756252505892116,-3.8135219984592947e-06,4.380990611594173e-06,0.00025821285153632134,1.0,0.0,0.0,0.0
20,0.0,-0.066,-0.005941663665826432,0.013842608526063838,0.019963151718088053,0.00041960501267417343,0.0006448245384315264,0.12467159161568717,1.0,0.0,0.0,0.0
21,0.0,0.021999999999999797,0.001742988432894943,-0.0021203533292866866,0.000624044223172214,1.188146821635679e-05,9.180396701834702e-06,-0.0008165153237473244,0.0,0.0,0.0,1.0
22,0.0,-0.008,-0.00088948187680676,0.001076624560065395,1.0859475153113252e-05,-3.0224904094568444e-06,-2.3156385616008614e-06,-0.0005798163996435235,1.0,0.0,1.0,1.0
23,0.0,0.034,0.0019953051643192485,-0.002743971103327969,-0.00027990473756975276,-9.72950318042288e-06,-9.583182232591287e-06,-0.0030910480995221534,0.0,1.0,1.0,1.0
24,0.0,0.01999999999999999,0.0015436863229391796,-0.00843078936275099,-0.00670856251022036,-3.9969794211902566e-05,-5.3678354970428414e-05,-0.0038304010698675395,0.0,1.0,1.0,1.0
25,0.0,0.066,0.006052824651504035,0.002852599773244452,0.007659066430880247,4.425056605736333e-05,4.902662015913149e-05,-0.0011704625822072101,0.0,0.0,0.0,1.0
26,0.0,-0.068,-0.0047873838355392846,-0.003870314692250354,-0.0007996604186402967,-1.0666117551771156e-05,-1.4216369286204969e-05,-0.0014315524181969796,1.0,1.0,1.0,1.0
27,0.0,-1.154,-0.08072188024622272,-0.0013406628344779514,0.003919627548528926,0.00037124617381080526,0.000553121377914584,0.08723450061421831,1.0,0.0,0.0,0.0
28,0.0,0.0,0.0,-0.0010401532203852398,0.00011761936145854648,-6.197250413779443e-07,6.593721722602088e-06,-0.0005126558526436231,0.0,0.0,0.0,1.0
29,0.0,-0.016,-0.0020613244009275965,-0.0005007764732755382,-2.3139342546048963e-05,2.3105130384780707e-06,1.254588675619645e-05,-0.003225050443249944,1.0,1.0,0.0,1.0
30,0.0,0.494,0.05502339051013589,0.010425742648196512,0.023001196062249395,0.00017931484969173675,0.00047431367324624437,0.10325796254633954,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,-0.003124231976072492,-6.231510773273101e-05,-1.262602783267514e-05,-1.952503656946306e-05,-0.007318814301472049,0.0,1.0,1.0,1.0
32,0.0,-0.058000000000000274,-0.005334805003679194,-0.002702303870947498,-0.0002968049594420513,-3.5534599819027173e-06,-7.951220274357096e-06,9.213591659795739e-05,1.0,1.0,1.0,0.0
33,0.0,0.022000000000000006,0.001852163663916483,-0.0024079322056642233,1.0996976865462749e-05,-4.126289730911484e-06,-9.35759956570783e-06,0.0003648641507578154,0.0,0.0,1.0,0.0
34,0.0,0.0,0.0,-0.003702363697392269,-0.0005263335541355399,-1.2488731569315062e-05,-1.9584275947311233e-05,-0.005023705206686546,0.0,1.0,1.0,1.0
35,0.0,-0.0040000000000000036,-0.00025585262888576203,-0.0021480234494948847,-6.198079541994833e-05,-1.0070312049413263e-06,-3.0609315034989433e-07,-0.0034456724342885603,1.0,1.0,1.0,1.0
36,0.0,0.0,0.0,-0.0023854240467121313,0.0006199703461207406,7.202181849869788e-06,4.330651832824568e-06,-0.0006504354983833949,0.0,0.0,0.0,1.0
37,0.0,-0.444,-0.032437171244886036,-0.009271285337317955,-0.008215017079087665,0.00044405465004914216,0.0006893146394114907,0.07815188798735917,1.0,1.0,0.0,0.0
38,0.0,0.0,0.0,-0.00444535893684167,0.0003936787653156682,2.4286374267143743e-05,6.101066794723096e-05,0.0015027262530873942,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,-0.0034014649213687798,-0.00028521437657857453,-9.359800885096973e-06,-1.1057524055577443e-05,-0.005737200684653471,0.0,1.0,1.0,1.0
40,0.0,0.0,0.0,-0.001019833275256704,-0.00017645271418792983,-1.0942063667700457e-05,-2.418173899699545e-05,-0.004058019794868362,0.0,1.0,1.0,1.0
41,0.0,0.128,0.010680907877169559,0.016723428697222695,0.02114324857374545,0.0004924276974440582,0.0007507597490259742,0.14032046119399796,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,2.6280343492904312e-05,6.749360633749937e-05,3.9493963125314564e-07,-1.0591537393294314e-05,-0.005345163894910798,0.0,0.0,1.0,1.0
43,0.0,0.0,0.0,0.0006374865461704904,0.0010379202333765103,8.052354798094696e-06,9.728506811737948e-06,-0.002729499076171482,0.0,0.0,0.0,1.0
44,0.0,0.0,0.0,-0.005443171241660105,0.00019999883232760945,-6.815593505179757e-06,-9.152450924425847e-07,-0.004544712135295115,0.0,0.0,1.0,1.0
45,0.0,0.0,0.0,-0.002258184691548537,-0.000227039126150198,-1.2075248860591269e-05,-2.774108714217007e-05,-0.0031663666302131632,0.0,1.0,1.0,1.0
46,0.0,0.17,0.019957736557877435,-0.0010940392790576847,0.0014843228218743218,2.3131331756357648e-07,4.1952616336019596e-06,-0.0034869122114671858,0.0,0.0,0.0,1.0
47,0.0,-0.06,-0.004805382027871216,-0.0007783707231941994,0.0034846063634485502,2.8495877801320473e-05,2.794532704929577e-05,-0.0006283353220820076,1.0,0.0,0.0,1.0
48,0.0,0.0,0.0,-0.006731031271466598,-0.00016212285782982172,-7.0618231205626415e-06,2.1079403692966065e-05,-0.003663350941202126,0.0,1.0,0.0,1.0
49,0.0,0.552,0.06424581005586592,0.016269477047938213,0.02605416443148048,0.00021878005710677072,0.0006227951944845451,0.12018503714716222,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,-0.001554824094141441,0.0005551835999619958,1.6434467528719907e-05,4.7116006245277286e-05,0.0002385177158270857,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,-0.0014426062482014862,0.0002518739627758223,1.23996273925528e-06,3.0912968318420094e-05,0.0036159402756522074,0.0,0.0,0.0,0.0
52,0.0,0.04600000000000004,0.003875968992248055,-0.0005302478255629628,0.003185214897726156,2.5985719844168935e-05,2.3769651877811587e-05,-0.002602144826865549,0.0,0.0,0.0,1.0
53,0.0,0.0,0.0,-0.007149507589390758,-0.0005357707724011774,-6.566011091853948e-06,1.8579343710928493e-05,-0.004726385330782512,0.0,1.0,0.0,1.0
