rot_weight,offset_tol,offset_steps,success,dynamic_success,attach_time,grasp_time,min_hold_err,min_target_err,mean_attach_target_err,ori_dotY,score
0.1,0.022,6,1,1,2.029999999999998,2.319999999999966,0.019709285759648906,0.015311636506769295,0.08541181447960242,0.955862114681263,2.97411814479599
0.1,0.022,8,1,1,3.199999999999869,3.409999999999846,0.011988194518754852,0.0039508163407487255,0.0799100011468169,0.9634881400981984,4.009100011468015
0.1,0.022,10,1,1,3.219999999999867,3.429999999999844,0.011988194518754852,0.00644673943424324,0.08020628566045174,0.9582873838116108,4.0320628566043615
0.1,0.024,6,1,1,2.019999999999999,2.309999999999967,0.019709285759648906,0.015653842330509718,0.08447988520951899,0.9559665513678524,2.954798852095157
0.1,0.024,8,1,1,2.039999999999997,2.329999999999965,0.019709285759648906,0.014701768464911285,0.08586943877633596,0.9574197934737638,2.9886943877633243
0.1,0.024,10,1,1,3.209999999999868,3.419999999999845,0.011988194518754852,0.00523452743334765,0.08005136455992351,0.960887626786537,4.02051364559908
0.1,0.026,6,1,1,2.0100000000000002,2.2999999999999683,0.020068917463627607,0.015703047147496384,0.08317705506675278,0.957034886624254,2.931770550667496
0.1,0.026,8,1,1,2.029999999999998,2.319999999999966,0.019709285759648906,0.015311636506769295,0.08541181447960242,0.955862114681263,2.97411814479599
0.1,0.026,10,1,1,2.049999999999996,2.349999999999963,0.019709285759648906,0.013989538710687217,0.08363574761298637,0.9615389912196698,2.986357476129826
0.15,0.022,6,1,1,2.0599999999999947,2.3599999999999617,0.018026267070279045,0.014209940134083325,0.08425753816913846,0.9785515977162451,3.0025753816913463
0.15,0.022,8,1,1,3.209999999999868,3.419999999999845,0.011269079744760433,0.004434391527968538,0.07999278446806508,0.9652056577045731,4.019927844680495
0.15,0.022,10,1,1,3.229999999999866,3.4399999999998427,0.011269079744760433,0.004718053572009224,0.0801622073494361,0.9575873124953389,4.041622073494204
0.15,0.024,6,1,1,2.0599999999999947,2.3599999999999617,0.018026267070279045,0.014209940134083325,0.08425753816913846,0.9785515977162451,3.0025753816913463
0.15,0.024,8,1,1,2.0799999999999925,2.3699999999999606,0.018026267070279045,0.014162335094107057,0.08680862981812992,0.979193546892194,3.03808629818126
0.15,0.024,10,1,1,3.219999999999867,3.429999999999844,0.011269079744760433,0.0028502212894266354,0.0801526063201892,0.9616115783223323,4.031526063201736
0.15,0.026,6,1,1,2.049999999999996,2.339999999999964,0.018026267070279045,0.014303869144330303,0.08581544386232609,0.9772065976193298,2.998154438623225
0.15,0.026,8,1,1,2.0699999999999936,2.3699999999999606,0.018026267070279045,0.01439743698321725,0.08434677217779578,0.9792751731298601,3.013467721777918
0.15,0.026,10,1,1,2.0899999999999914,2.3799999999999595,0.018026267070279045,0.013395756523327942,0.08667028567991822,0.9808202700360069,3.0467028567991417
0.2,0.022,6,1,1,2.2699999999999716,2.5599999999999397,0.018281377570441376,0.014206451025787343,0.08418530903262336,0.9877483181703293,3.201853090326173
0.2,0.022,8,1,1,3.1899999999998703,3.399999999999847,0.01244939665688857,0.006982355915945906,0.07860994665393467,0.9615740700505853,3.986099466539194
0.2,0.022,10,1,1,3.209999999999868,3.419999999999845,0.01244939665688857,0.009591331914090876,0.07888838390269294,0.9564312279853151,4.008883839026774
0.2,0.024,6,1,1,2.2599999999999727,2.5499999999999408,0.018281377570441376,0.014519257740906597,0.08419758252033203,0.9872005019695242,3.191975825203261
0.2,0.024,8,1,1,2.2799999999999705,2.5699999999999386,0.018281377570441376,0.014613116296043819,0.08384794908615491,0.9884265736067113,3.2084794908614875
0.2,0.024,10,1,1,3.209999999999868,3.419999999999845,0.01244939665688857,0.009591331914090876,0.07888838390269294,0.9564312279853151,4.008883839026774
0.2,0.026,6,1,1,2.2599999999999727,2.5499999999999408,0.018281377570441376,0.014519257740906597,0.08419758252033203,0.9872005019695242,3.191975825203261
0.2,0.026,8,1,1,2.2799999999999705,2.5699999999999386,0.018281377570441376,0.014613116296043819,0.08384794908615491,0.9884265736067113,3.2084794908614875
0.2,0.026,10,1,1,3.199999999999869,3.409999999999846,0.01244939665688857,0.008711685997155393,0.07873819196062966,0.9589533153770625,3.9973819196061426
