episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,qdot_norm_mean_delta_on_minus_off,cond_log10_mean_delta_on_minus_off,manip_w_mean_delta_on_minus_off,manip_risk_mean_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_qdot_on,win_cond_on,win_manip_w_on,win_manip_risk_on
1,0,-0.03199999999999999,-0.003706277507528376,-0.00014978059449252679,-0.0009905818067160038,1.1085744475914814e-06,5.196694819158327e-06,0.005706141104120627,-0.006615900234672845,-0.01069155575670555,0.13703178379439607,0.040697296366479487,1,1,0,1,1,0
2,0,-0.136,-0.01123781193191208,-0.0003656777026424807,-0.0004555650458832744,-1.5500389759094246e-06,-2.935482680936803e-06,-0.0020612725686592615,0.031184095566975323,-0.07525515158195306,0.17093442530760622,0.027332471591191766,1,1,1,1,1,0
3,0,-0.0020000000000000018,-0.00021353833013025916,0.001122233996078581,-5.981733715981416e-05,-2.7250914780914577e-06,-3.859000936204718e-06,0.0035001276359098443,-0.0014020653023905094,-0.0025519828260618382,0.13950951405284606,0.03350988482114849,1,1,0,1,1,0
4,0,-1.07,-0.06673319196706998,-0.015617048985066662,-0.003078204830904936,1.1261801341851856e-06,-4.532501499835654e-06,-0.004955539285150273,-0.11167980881268291,-0.44072368845412635,0.17009813008504132,0.01923750675836206,1,1,1,1,1,0
5,0,-0.0020000000000000018,-0.00021349274124679747,-0.0017006128263790943,-3.584422730219458e-05,6.622789982921925e-06,1.0593380556566659e-05,0.0031611548408574386,-0.014251249896525264,-0.01805701639431634,0.13208890385474542,0.03334158705095554,1,1,0,1,1,0
6,0,0.11200000000000004,0.007734806629834258,-0.0013610252340583717,0.0018550918635673666,-6.019483787594957e-06,-2.373293040546973e-06,-0.009742060189689955,-0.0037802282138099663,0.004714033377351434,0.15629236606485475,0.022194205549680032,0,0,1,0,1,0
7,0,0.0,0.0,0.0017756085963953339,1.6379083860207366e-05,-1.538906544735802e-06,-3.6235498396459433e-06,0.003659472368454847,0.0032056701990683667,0.01249047031228434,0.1249156392240125,0.02587709962882014,0,0,0,0,1,0
8,0,-0.134,-0.01602104256336681,0.010633674171761032,0.0016004691938474036,-8.701560834353621e-05,-0.0002796294558260185,0.021801400445159047,0.2565314957890086,0.038318788707943696,0.12519364000750427,0.04642005549712129,1,0,0,0,1,0
9,0,-0.122,-0.010276280323450133,-0.005204493922018355,-0.0004637926206435203,1.0352385293201137e-05,1.2880681304359444e-05,-0.013548779827142615,-0.034574069364548876,-0.09584245192794194,0.17057523526834717,0.027914519321549227,1,1,1,1,1,0
10,0,0.0,0.0,0.00614215882765165,0.00040593750106415055,-2.3654177793068043e-05,-1.5828436164312524e-05,0.025073056059819798,0.024949310981660755,-0.19729813154057885,0.12071127416579197,0.03042796522936663,0,0,0,1,1,0
