episode,success_delta_on_minus_off,zone_time_delta_on_minus_off,zone_ratio_delta_on_minus_off,target_err_mean_delta_on_minus_off,attach_err_mean_delta_on_minus_off,hf_target_err_diff_rms_delta_on_minus_off,hf_attach_err_diff_rms_delta_on_minus_off,hf_qdot_diff_rms_delta_on_minus_off,win_zone_time_on,win_attach_err_on,win_hf_attach_on,win_hf_qdot_on
1,-1.0,-0.296,-0.04461863129333735,0.3056421514709661,nan,-0.0008603850830618008,nan,0.19975305205979427,1.0,nan,nan,0.0
2,0.0,-3.502,-0.3466640269253613,-0.06204123910969811,-0.044456176142452314,-0.0004192585357538658,-0.0007201679359100537,-0.1283925608773415,1.0,1.0,1.0,1.0
3,0.0,-0.336,-0.0456149877816997,0.0014363807119043281,-0.020736319769396893,-0.0005389482958943755,-0.0007533426729932251,0.0868129152478978,1.0,1.0,1.0,0.0
4,0.0,-0.114,-0.008123129542539546,-0.015284536569340465,-0.00015503064486485293,-0.00012132367980744038,-0.0003443196572510936,0.04778041009617817,1.0,1.0,1.0,0.0
5,-1.0,-2.428,-0.3295331161780673,0.7925135171413082,nan,-0.00024572562208161194,nan,0.02205010720760059,1.0,nan,nan,0.0
6,0.0,-4.074,-0.3264423076923077,-0.07321350444190983,-0.061943162875619996,-0.0005686611671863093,-0.001052870444253803,-0.09212314260696336,1.0,1.0,1.0,1.0
7,0.0,-0.12,-0.012106537530266338,-0.00820727471856171,0.0042999861956418105,2.6357412748097384e-05,-3.9678512373023534e-05,0.08988752045532142,1.0,0.0,1.0,0.0
8,-1.0,-0.336,-0.05279698302954117,0.33153997158972903,nan,-0.0008107901881401634,nan,0.2842617786109423,1.0,nan,nan,0.0
9,0.0,-3.794,-0.38431928687196115,-0.06235237910098823,-0.044875218610922495,-0.00039857455011500526,-0.0006874253874022465,-0.11703547843537832,1.0,1.0,1.0,1.0
10,0.0,-3.7079999999999997,-0.45418912297893194,-0.06970528857310263,-0.06193854283564011,-0.00044633555912938186,-0.000771249135067522,-0.08916914287959554,1.0,1.0,1.0,1.0
11,0.0,-2.324,-0.3466587112171838,-0.004431351580377496,-0.04147374928773003,-0.00045881112363451977,-0.0007273309460072734,0.06530773551016911,1.0,1.0,1.0,0.0
12,0.0,-0.6719999999999999,-0.09716599190283401,-0.028582386510531993,-0.03191317338762639,-0.0003684389011505856,-0.0005815726576165665,-0.07339537711165434,1.0,1.0,1.0,1.0
13,0.0,-2.904,-0.26918798665183535,-0.06861927862303803,-0.054276890913575765,-0.0005962149255680008,-0.0009770635596509447,-0.09383288208029461,1.0,1.0,1.0,1.0
14,0.0,-0.41800000000000004,-0.06814476687316595,0.010708685785614236,-0.03508563437756258,-0.0006521463716825306,-0.0010850110574124718,-0.00953153559022718,1.0,1.0,1.0,1.0
15,0.0,-3.6899999999999995,-0.4229711141678129,-0.07928141521872026,-0.06765183135451477,-0.0005543645097415234,-0.0008911036346243072,-0.10968810664448009,1.0,1.0,1.0,1.0
16,0.0,-1.9100000000000001,-0.26698350573105956,-0.05676484010242666,-0.05631727355239652,-0.0004112749102961476,-0.0007141234537128517,0.04563523122449947,1.0,1.0,1.0,0.0
17,0.0,-3.8499999999999996,-0.43287609624465934,-0.06707568388492562,-0.0640756502056305,-0.000514060400911466,-0.0008850691829780495,-0.07861459907108598,1.0,1.0,1.0,1.0
18,0.0,-5.8420000000000005,-0.5751132112620595,-0.005572786657254386,0.006345395351648233,1.3752744180637157e-05,-5.493026131848618e-05,0.10696484749484886,1.0,0.0,1.0,0.0
19,0.0,-2.318,-0.2597489914836396,-0.05278262674608522,-0.04636700533118788,-0.000454505465333583,-0.0008209339754782826,-0.09219883030749676,1.0,1.0,1.0,1.0
20,0.0,-4.712,-0.5173473869126043,-0.012578107725144255,0.005332847060248157,4.287906971410277e-05,6.108263995866295e-08,0.09509569439150123,1.0,0.0,0.0,0.0
21,0.0,-3.21,-0.3022029749576351,-0.07263507980484131,-0.06164382299361143,-0.0005878400497742759,-0.0009562478670237405,-0.08434244963949283,1.0,1.0,1.0,1.0
